Wavelength_(nm),Sum,Fe_I_(2.2e-02),Fe_II_(4.8e-01),Fe_III_(1.1e-03),W_I_(2.3e-02),W_II_(4.8e-01),W_III_(1.4e-03)
247.4,31060.0,5963.0,15260.0,0.0,2152.0,7685.0,0.0
247.6,34080.0,7534.0,15420.0,0.0,2203.0,8927.0,0.0
247.8,38050.0,9256.0,16100.0,0.0,2189.0,10510.0,0.0
248.0,42790.0,10960.0,17330.0,0.0,2094.0,12410.0,0.0
248.2,47900.0,12440.0,19080.0,0.0,1920.0,14460.0,0.001
248.4,52780.0,13460.0,21220.0,0.0,1686.0,16410.0,0.002
248.6,56710.0,13870.0,23510.0,0.0,1424.0,17910.0,0.005
248.8,59030.0,13580.0,25650.0,0.0,1166.0,18630.0,0.011
249.0,59220.0,12630.0,27300.0,0.0,942.0,18340.0,0.021
249.2,57140.0,11160.0,28170.0,0.0,767.3,17040.0,0.039
249.5,50370.0,8452.0,27680.0,0.0,603.7,13630.0,0.088
249.7,44330.0,6647.0,26230.0,0.0,548.5,10900.0,0.136
249.9,37970.0,5060.0,24160.0,0.0,521.2,8232.0,0.196
250.1,32000.0,3803.0,21780.0,0.0,508.4,5916.0,0.263
250.3,26950.0,2911.0,19420.0,0.0,499.1,4114.0,0.327
250.5,23090.0,2368.0,17360.0,0.0,485.7,2872.0,0.379
250.7,20530.0,2129.0,15770.0,0.0,464.6,2160.0,0.408
250.9,19220.0,2141.0,14740.0,0.0,436.5,1898.0,0.408
251.1,19060.0,2358.0,14310.0,,405.9,1986.0,0.379
251.3,19910.0,2740.0,14480.0,,378.6,2311.0,0.327
251.5,21620.0,3246.0,15270.0,,359.9,2750.0,0.263
251.7,24000.0,3824.0,16640.0,,351.6,3180.0,0.196
252.0,28300.0,4677.0,19690.0,,353.9,3575.0,0.11
252.2,31290.0,5126.0,22240.0,,358.3,3569.0,0.068
252.4,34120.0,5404.0,25030.0,,360.4,3333.0,0.039
252.6,36620.0,5479.0,27870.0,,359.7,2909.0,0.021
252.8,38680.0,5362.0,30580.0,,360.9,2377.0,0.011
253.0,40280.0,5100.0,32980.0,,373.0,1828.0,0.005
253.2,41400.0,4761.0,34880.0,,408.1,1347.0,0.002
253.4,42000.0,4410.0,36110.0,,478.9,1000.0,0.001
253.6,42040.0,4091.0,36520.0,,595.9,832.1,0.0
253.8,41510.0,3813.0,36060.0,,763.2,874.5,0.0
254.0,40430.0,3559.0,34750.0,,976.0,1150.0,0.0
254.2,38930.0,3296.0,32740.0,0.0,1218.0,1670.0,0.0
254.5,36290.0,2825.0,29000.0,0.0,1574.0,2888.0,0.0
254.7,34620.0,2447.0,26490.0,0.0,1758.0,3917.0,0.0
254.9,33250.0,2032.0,24340.0,0.0,1864.0,5009.0,0.0
255.1,32330.0,1611.0,22810.0,0.0,1878.0,6034.0,0.0
255.3,31920.0,1214.0,22030.0,0.0,1799.0,6871.0,0.001
255.5,31980.0,868.8,22020.0,0.0,1642.0,7446.0,0.003
255.7,32370.0,590.0,22590.0,0.0,1436.0,7753.0,0.007
255.9,32880.0,381.2,23430.0,0.0,1208.0,7863.0,0.015
